query	Identification_Source	Pseudofinder_reason	Disruption	Coverage	Cov_comp	Variant_Type	DP	Preferred_name	COG_category	EC	KEGG_ko	KEGG_Module	Description
MRSS_00006	Match	Intergenic region with 15 blast hits.	Truncated; Frameshift/Internal Stop	17.69	Low Cov	-	-	ilvE	E	2.6.1.42	ko:K00826	M00019,M00036,M00119,M00570	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
MRSS_00006	Match	ORF is 23.4%25 of the average length of hits to this gene.	Truncated; Frameshift/Internal Stop	17.69	Low Cov	-	-	ilvE	E	2.6.1.42	ko:K00826	M00019,M00036,M00119,M00570	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
MRSS_00007	Match	Intergenic region with 15 blast hits.	Align length out range	30.54	Mean Cov	INDEL	6.0	ilvE	E	2.6.1.42	ko:K00826	M00019,M00036,M00119,M00570	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
MRSS_00007	Match	ORF is 43.3%25 of the average length of hits to this gene.	Align length out range	30.54	Mean Cov	INDEL	6.0	ilvE	E	2.6.1.42	ko:K00826	M00019,M00036,M00119,M00570	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
MRSS_00009	Match	Intergenic region with 15 blast hits.	Align length out range	23.43	Mean Cov	-	-	bamC	M	-	ko:K07287	-	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
MRSS_00009	Match	Predicted fragmentation of a single gene.	Align length out range	23.43	Mean Cov	-	-	bamC	M	-	ko:K07287	-	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
MRSS_00009	Match	ORF is 30.2%25 of the average length of hits to this gene.	Align length out range	23.43	Mean Cov	-	-	bamC	M	-	ko:K07287	-	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
MRSS_00015	Match	Intergenic region with 15 blast hits.	Align length out range	18.73	Low Cov	-	-	yfcH	CH	-	ko:K07071	-	epimerase
MRSS_00015	Match	Predicted fragmentation of a single gene.	Align length out range	18.73	Low Cov	-	-	yfcH	CH	-	ko:K07071	-	epimerase
MRSS_00015	Match	ORF is 38.7%25 of the average length of hits to this gene.	Align length out range	18.73	Low Cov	-	-	yfcH	CH	-	ko:K07071	-	epimerase
MRSS_00020	Match	Intergenic region with 15 blast hits.	Align length out range	13.55	Low Cov	-	-	-	-	-	-	-	-
