query	has_internal_stop	first_internal_pos_nt	cds_length	ref_id	aa_mag_len	aa_ref_len	length_ratio	is_pseudogene
MRSS_00001	0	NaN	1641	WP_011410703.1	546.0	547.0	0.9981718464351006	False
MRSS_00002	0	NaN	1458	WP_011411573.1	485.0	487.0	0.995893223819302	False
MRSS_00003	0	NaN	1578	WP_011411572.1	525.0	525.0	1.0	False
MRSS_00004	0	NaN	1539	WP_011411719.1	512.0	506.0	1.0118577075098814	False
MRSS_00005	0	NaN	1098	WP_148203579.1	365.0	365.0	1.0	False
MRSS_00006	0	NaN	213	WP_011412201.1	70.0	309.0	0.2265372168284789	True
MRSS_00007	0	NaN	402	WP_011412201.1	133.0	309.0	0.43042071197411	True
MRSS_00008	0	NaN	879	WP_011411550.1	292.0	292.0	1.0	False
MRSS_00009	0	NaN	294	WP_011411549.1	97.0	349.0	0.2779369627507163	True
MRSS_00010	0	NaN	516	WP_011410699.1	171.0	171.0	1.0	False
MRSS_00011	0	NaN	1407	WP_011411944.1	468.0	468.0	1.0	False
MRSS_00012	0	NaN	1896	WP_011412211.1	631.0	629.0	1.0031796502384738	False
MRSS_00013	0	NaN	447	WP_011411679.1	148.0	148.0	1.0	False
MRSS_00014	0	NaN	1482	WP_011411258.1	493.0	470.0	1.048936170212766	False
MRSS_00015	0	NaN	339	WP_011411438.1	112.0	300.0	0.3733333333333333	True
MRSS_00016	0	NaN	1911	WP_011410272.1	636.0	636.0	1.0	False
MRSS_00017	0	NaN	1128	WP_011410273.1	375.0	374.0	1.002673796791444	False
MRSS_00018	0	NaN	1164	WP_011410274.1	387.0	398.0	0.9723618090452262	False
MRSS_00019	0	NaN	846	WP_011411681.1	281.0	281.0	1.0	False
MRSS_00020	0	NaN	195	WP_011410900.1	64.0	312.0	0.2051282051282051	True
MRSS_00021	0	NaN	858	WP_011411823.1	285.0	285.0	1.0	False
MRSS_00022	0	NaN	987	WP_011410068.1	328.0	328.0	1.0	False
MRSS_00023	0	NaN	429	WP_011410331.1	142.0	363.0	0.3911845730027548	True
MRSS_00024	0	NaN	315	WP_011410331.1	104.0	363.0	0.2865013774104683	True
MRSS_00025	0	NaN	285	WP_011411392.1	94.0	94.0	1.0	False
MRSS_00026	0	NaN	159	WP_011410831.1	52.0	679.0	0.0765832106038291	True
MRSS_00027	0	NaN	1680	WP_011410831.1	559.0	679.0	0.8232695139911634	False
MRSS_00028	0	NaN	234	WP_011412224.1	77.0	317.0	0.2429022082018927	True
MRSS_00029	0	NaN	642	WP_011410082.1	213.0	213.0	1.0	False
MRSS_00030	0	NaN	399	WP_011410081.1	132.0	130.0	1.015384615384615	False
MRSS_00031	0	NaN	429	WP_011410080.1	142.0	142.0	1.0	False
MRSS_00032	0	NaN	174	WP_083764717.1	57.0	210.0	0.2714285714285714	True
MRSS_00033	0	NaN	264	WP_011410275.1	87.0	87.0	1.0	False
MRSS_00034	0	NaN	453	WP_011410211.1	150.0	150.0	1.0	False
MRSS_00035	0	NaN	228	WP_011410210.1	75.0	75.0	1.0	False
MRSS_00036	0	NaN	318	WP_041867358.1	105.0	105.0	1.0	False
MRSS_00037	0	NaN	390	WP_011410208.1	129.0	131.0	0.9847328244274808	False
MRSS_00038	0	NaN	189	WP_050747355.1	62.0	67.0	0.9253731343283582	False
MRSS_00039	0	NaN	855	WP_011411817.1	284.0	284.0	1.0	False
MRSS_00040	0	NaN	810	WP_011411818.1	269.0	269.0	1.0	False
MRSS_00041	0	NaN	843	WP_011411819.1	280.0	282.0	0.9929078014184396	False
MRSS_00042	0	NaN	1083	WP_011411820.1	360.0	360.0	1.0	False
MRSS_00043	0	NaN	1050	WP_011410851.1	349.0	361.0	0.9667590027700832	False
MRSS_00044	0	NaN	1095	WP_041866638.1	364.0	360.0	1.011111111111111	False
MRSS_00045	0	NaN	510	WP_011411604.1	169.0	169.0	1.0	False
MRSS_00046	0	NaN	318	WP_011410498.1	105.0	105.0	1.0	False
MRSS_00047	0	NaN	726	WP_011410499.1	241.0	239.0	1.00836820083682	False
MRSS_00048	0	NaN	480	WP_011410500.1	159.0	158.0	1.0063291139240509	False
