enzyme	genome_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition
K01810	contigs_clean	840	c_000000000022	M00001,M00004,M00892,M00909	glucose-6-phosphate isomerase [EC:5.3.1.9]
K01624	contigs_clean	303	c_000000000008	M00001,M00003,M00165,M00167,M00345,M00344,M00611,M00612	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K01803	contigs_clean	231	c_000000000005	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
K00134	contigs_clean	455	c_000000000011	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00927	contigs_clean	304	c_000000000008	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
K01834	contigs_clean	64	c_000000000003	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
K01689	contigs_clean	87	c_000000000003	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
K00873	contigs_clean	13	c_000000000002	M00001,M00002	pyruvate kinase [EC:2.7.1.40]
K00163	contigs_clean	770	c_000000000018	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00627	contigs_clean	769	c_000000000018	M00307	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
K00382	contigs_clean	768	c_000000000018	M00307,M00009,M00011,M00532,M00621,M00036,M00032	dihydrolipoyl dehydrogenase [EC:1.8.1.4]
K00164	contigs_clean	537	c_000000000011	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00658	contigs_clean	536	c_000000000011	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K01902	contigs_clean	534	c_000000000011	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
K01903	contigs_clean	535	c_000000000011	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
K01783	contigs_clean	751	c_000000000017	M00004,M00007	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
K01807	contigs_clean	677	c_000000000016	M00004,M00007,M00580,M00165,M00167,M00611,M00612	ribose 5-phosphate isomerase A [EC:5.3.1.6]
K00615	contigs_clean	607	c_000000000013	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
K00616	contigs_clean	606	c_000000000013	M00004,M00007	transaldolase [EC:2.2.1.2]
K00948	contigs_clean	90	c_000000000003	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
