qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
MRSS_00006	NC_007712.1_cds_WP_011412201.1_4750	84.541	207	29	1	1	207	505	708	7.58e-53	202
MRSS_00023	NC_007712.1_cds_WP_011410331.1_1070	85.176	425	62	1	1	424	655	1079	1.45e-122	435
MRSS_00024	NC_007712.1_cds_WP_011410331.1_1070	87.821	312	38	0	1	312	340	651	3.86e-102	366
MRSS_00175	NC_007712.1_cds_WP_011411222.1_2686	74.884	215	47	5	5	217	11	220	5.64e-19	91.6
MRSS_00199	NC_007712.1_cds_WP_041866741.1_1535	82.911	474	81	0	1	474	181	654	2.69e-120	427
MRSS_00226	NC_007712.1_cds_WP_011412116.1_4603	84.731	465	71	0	3	467	618	1082	5.78e-132	466
MRSS_00236	NC_007712.1_cds_SGP1_RS20695_4525	81.903	431	74	4	1	428	1	430	2.51e-100	361
MRSS_00423	NC_007712.1_cds_WP_011411081.1_2431	82.920	363	61	1	1	362	1	363	7.63e-90	326
MRSS_00439	NC_007712.1_cds_WP_011410675.1_1551	85.553	886	120	6	1	881	49	931	0.0	920
MRSS_00440	NC_007712.1_cds_WP_011410675.1_1551	87.302	189	24	0	1	189	997	1185	2.37e-57	217
MRSS_00442	NC_007712.1_cds_WP_011411145.1_2529	83.791	364	59	0	1	364	226	589	6.16e-96	346
MRSS_00568	NC_007712.1_cds_WP_011410890.1_1910	80.227	617	112	7	1	609	1	615	1.61e-128	455
MRSS_00582	NC_007712.1_cds_WP_011410406.1_1219	88.667	300	34	0	3	302	120	419	3.71e-102	366
MRSS_00640	NC_007712.1_cds_WP_011411733.1_4030	83.333	348	56	2	1	347	1	347	3.46e-88	320
MRSS_00700	NC_007712.1_cds_WP_011409976.1_219	87.037	594	77	0	1	594	1042	1635	0.0	671
MRSS_00701	NC_007712.1_cds_WP_011409976.1_219	89.243	911	97	1	1	910	1	911	0.0	1138
MRSS_00713	NC_007712.1_cds_WP_011412154.1_4661	84.831	534	80	1	8	540	982	1515	4.92e-153	536
MRSS_00714	NC_007712.1_cds_WP_011412154.1_4661	87.805	164	20	0	2	165	536	373	3.43e-50	193
MRSS_00729	NC_007712.1_cds_WP_011411455.1_3228	87.471	431	50	2	1	427	1	431	2.37e-140	494
MRSS_00730	NC_007712.1_cds_WP_011411455.1_3228	87.000	400	50	2	46	444	1086	688	5.37e-127	449
MRSS_00812	NC_007712.1_cds_WP_011411979.1_4380	80.745	161	31	0	20	180	122	282	5.13e-30	126
MRSS_00817	NC_007712.1_cds_WP_011410483.1_985	85.199	1635	234	4	1	1634	1	1628	0.0	1672
MRSS_00850	NC_007712.1_cds_SGP1_RS17500_3839	75.203	246	52	8	8	249	446	686	2.16e-24	108
MRSS_00859	NC_007712.1_cds_WP_011410942.1_2011	84.825	257	35	3	3	255	267	523	6.95e-69	255
