KEGG_ko,ko_symbol,ko_name
K01835,pgm,phosphoglucomutase [EC:5.4.2.2]
K00088,"IMPDH, guaB",IMP dehydrogenase [EC:1.1.1.205]
K01951,"guaA, GMPS",GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
K04567,"KARS, lysS","lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
K02836,prfB,peptide chain release factor 2
K00826,"E2.6.1.42, ilvE",branched-chain amino acid aminotransferase [EC:2.6.1.42]
K01714,dapA,4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K07287,bamC,outer membrane protein assembly factor BamC
K03839,"fldA, nifF, isiB",flavodoxin I
K02314,dnaB,replicative DNA helicase [EC:5.6.2.3]
K03495,"gidA, mnmG, MTO1",tRNA uridine 5-carboxymethylaminomethyl modification enzyme
K06205,mioC,MioC protein
K00873,"PK, pyk",pyruvate kinase [EC:2.7.1.40]
K07071,K07071,uncharacterized protein
K04043,"dnaK, HSPA9",molecular chaperone DnaK
K03686,dnaJ,molecular chaperone DnaJ
K03313,nhaA,"Na+:H+ antiporter, NhaA family"
K06879,queF,7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K09457,queF,7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K00919,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K06041,"kdsD, kpsF",arabinose-5-phosphate isomerase [EC:5.3.1.13]
K01626,"E2.5.1.54, aroF, aroG, aroH",3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K02897,"RP-L25, rplY",large subunit ribosomal protein L25
K01874,"MARS, metG",methionyl-tRNA synthetase [EC:6.1.1.10]
K03599,"sspA, mglA",stringent starvation protein A
K02996,"RP-S9, MRPS9, rpsI",small subunit ribosomal protein S9
K02871,"RP-L13, MRPL13, rplM",large subunit ribosomal protein L13
K02968,"RP-S20, rpsT",small subunit ribosomal protein S20
K02939,"RP-L9, MRPL9, rplI",large subunit ribosomal protein L9
K02963,"RP-S18, MRPS18, rpsR",small subunit ribosomal protein S18
K02686,priB,primosomal replication protein N
K02990,"RP-S6, MRPS6, rpsF",small subunit ribosomal protein S6
K01627,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K02493,"hemK, prmC, HEMK",release factor glutamine methyltransferase [EC:2.1.1.297]
K02835,"prfA, MTRF1, MRF1",peptide chain release factor 1
K00831,"serC, PSAT1",phosphoserine aminotransferase [EC:2.6.1.52]
K06194,nlpD,lipoprotein NlpD
K11991,tadA,tRNA(adenine34) deaminase [EC:3.5.4.33]
K05589,ftsB,cell division protein FtsB
K00991,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K01770,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]"
K01141,"sbcB, exoI",exodeoxyribonuclease I [EC:3.1.11.1]
K03088,rpoE,"RNA polymerase sigma-70 factor, ECF subfamily"
K03596,lepA,GTP-binding protein LepA
K03100,lepB,signal peptidase I [EC:3.4.21.89]
K03685,"rnc, DROSHA, RNT1",ribonuclease III [EC:3.1.26.3]
K03595,"era, ERAL1",GTPase
K03402,"argR, ahrC",transcriptional regulator of arginine metabolism
K03324,yjbB,phosphate:Na+ symporter
K00928,lysC,aspartate kinase [EC:2.7.2.4]
K02518,infA,translation initiation factor IF-1
K02784,ptsH,phosphocarrier protein HPr
K08483,ptsI,phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
K02777,crr,sugar PTS system EIIA component [EC:2.7.1.-]
K07278,tamA,translocation and assembly module TamA
K09800,tamB,translocation and assembly module TamB
K01834,"PGAM, gpmA","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
K03719,lrp,"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
K03466,"ftsK, spoIIIE","DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"
K01507,ppa,inorganic pyrophosphatase [EC:3.6.1.1]
K08311,nudH,putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K09768,K09768,uncharacterized protein
K06173,"truA, PUS1",tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
K00997,acpS,holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K03474,pdxJ,pyridoxine 5-phosphate synthase [EC:2.6.99.2]
K04568,"epmA, poxA",elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]
K05802,"mscK, kefA, aefA",potassium-dependent mechanosensitive channel
K22051,"mscM, bspA",miniconductance mechanosensitive channel
K01613,"psd, PISD",phosphatidylserine decarboxylase [EC:4.1.1.65]
K13288,"orn, REX2, REXO2",oligoribonuclease [EC:3.1.-.-]
K03749,dedD,DedD protein
K11754,folC,dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
